,MSSubClass,LotFrontage,LotArea,Condition2,OverallQual,OverallCond,YearBuilt,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,TotalBsmtSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageArea,ScreenPorch,PoolQC,New,Abnorml
0,60,65.0,8450,0,7,5,17,3,11,11,196.0,4,4,3,1,150,856,1710,3,1,4,8,0,0,548,0,0,0.0,0
1,20,80.0,9600,0,6,8,44,3,6,6,0.0,3,4,3,4,284,1262,1262,3,1,3,6,0,1,460,0,0,0.0,0
2,60,68.0,11250,0,7,5,19,3,11,11,162.0,4,4,3,2,434,920,1786,3,1,4,6,0,1,608,0,0,0.0,0
3,70,60.0,9550,0,7,5,105,3,5,8,0.0,3,3,4,1,540,756,1717,3,1,4,7,0,1,642,0,0,0.0,1
4,60,84.0,14260,0,8,5,20,3,11,11,350.0,4,4,3,3,490,1145,2198,4,1,4,9,0,1,836,0,0,0.0,0
5,50,85.0,14115,0,5,5,27,3,11,11,0.0,3,4,3,1,64,796,1362,1,1,3,5,0,0,480,0,0,0.0,0
6,20,75.0,10084,0,8,5,16,3,11,11,186.0,4,5,3,3,317,1686,1694,3,1,4,7,0,1,636,0,0,0.0,0
7,60,0.0,10382,0,7,6,47,3,7,7,240.0,3,4,3,2,216,1107,2090,3,1,3,7,0,2,484,0,0,0.0,0
8,50,51.0,6120,0,7,5,89,3,10,8,0.0,3,3,3,1,952,952,1774,2,2,3,8,1,2,468,0,0,0.0,1
9,190,50.0,7420,-1,5,6,81,3,6,6,0.0,3,3,3,1,140,991,1077,2,2,3,5,0,2,205,0,0,0.0,0
10,20,70.0,11200,0,5,5,55,3,7,7,0.0,3,3,3,1,134,1040,1040,3,1,3,5,0,0,384,0,0,0.0,0
11,60,85.0,11924,0,9,5,15,3,8,8,286.0,5,5,3,1,177,1175,2324,4,1,5,11,0,2,736,0,0,1.0,0
12,20,0.0,12968,0,5,6,58,3,7,9,0.0,3,3,3,1,175,912,912,2,1,3,4,0,0,352,176,0,0.0,0
13,20,91.0,10652,0,7,5,14,3,11,11,306.0,4,4,3,3,1494,1494,1494,3,1,4,7,0,1,840,0,0,1.0,0
14,20,0.0,10920,0,6,5,60,3,6,6,212.0,3,3,3,1,520,1253,1253,2,1,3,5,0,1,352,0,0,0.0,0
15,45,51.0,6120,0,7,8,91,3,5,5,0.0,3,3,3,1,832,832,854,2,1,3,5,0,0,576,0,0,0.0,0
16,20,0.0,11241,0,6,7,50,3,5,5,180.0,3,3,3,1,426,1004,1004,2,1,3,5,0,1,480,0,0,0.0,0
