,LotArea,Condition2,OverallQual,RoofMatl,ExterQual,BsmtFinSF1,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,PoolQC,SalePrice
0,8450,0,7,3,4,706,856,854,3,1,8,548,0,208500
1,9600,0,6,3,3,978,1262,0,3,1,6,460,0,181500
2,11250,0,7,3,4,486,920,866,3,1,6,608,0,223500
3,9550,0,7,3,3,216,961,756,3,1,7,642,0,140000
4,14260,0,8,3,4,655,1145,1053,4,1,9,836,0,250000
5,14115,0,5,3,3,732,796,566,1,1,5,480,0,143000
6,10084,0,8,3,4,1369,1694,0,3,1,7,636,0,307000
7,10382,0,7,3,3,859,1107,983,3,1,7,484,0,200000
8,6120,0,7,3,3,0,1022,752,2,2,8,468,0,129900
9,7420,-1,5,3,3,851,1077,0,2,2,5,205,0,118000
10,11200,0,5,3,3,906,1040,0,3,1,5,384,0,129500
11,11924,0,9,3,5,998,1182,1142,4,1,11,736,0,345000
12,12968,0,5,3,3,737,912,0,2,1,4,352,0,144000
13,10652,0,7,3,4,0,1494,0,3,1,7,840,0,279500
14,10920,0,6,3,3,733,1253,0,2,1,5,352,0,157000
15,6120,0,7,3,3,0,854,0,2,1,5,576,0,132000
16,11241,0,6,3,3,578,1004,0,2,1,5,480,0,149000
17,10791,0,4,3,3,0,1296,0,2,2,6,516,0,90000
18,13695,0,5,3,3,646,1114,0,3,1,6,576,0,159000
19,7560,0,5,3,3,504,1339,0,3,1,6,294,0,139000
20,14215,0,8,3,4,0,1158,1218,4,1,9,853,0,325300
21,7449,0,7,3,3,0,1108,0,3,1,6,280,0,139400
22,9742,0,8,3,4,0,1795,0,3,1,7,534,0,230000
23,4224,0,5,3,3,840,1060,0,3,1,6,572,0,129900
24,8246,0,5,3,3,188,1060,0,3,1,6,270,0,154000
25,14230,0,8,3,4,0,1600,0,3,1,7,890,0,256300
26,7200,0,5,3,3,234,900,0,3,1,5,576,0,134800
27,11478,0,8,3,4,1218,1704,0,3,1,7,772,0,306000
28,16321,0,5,3,3,1277,1600,0,2,1,6,319,0,207500
29,6324,-1,4,3,3,0,520,0,1,1,4,240,0,68500
30,8500,0,4,3,3,0,649,668,3,1,6,250,0,40000
31,8544,0,5,3,3,0,1228,0,3,1,6,271,0,149350
32,11049,0,8,3,4,0,1234,0,3,1,7,484,0,179900
33,10552,0,5,3,3,1018,1700,0,4,1,6,447,0,165500
34,7313,0,9,3,5,1153,1561,0,2,1,6,556,0,277500
35,13418,0,8,3,4,0,1132,1320,4,1,9,691,0,309000
36,10859,0,5,3,3,0,1097,0,3,1,6,672,0,145000
37,8532,0,5,3,3,1213,1297,0,3,1,5,498,0,153000
38,7922,0,5,3,3,731,1057,0,3,1,5,246,0,109000
39,6040,0,4,3,3,0,1152,0,2,2,6,0,0,82000
40,8658,0,6,3,3,643,1324,0,3,1,6,440,0,160000
41,16905,0,5,3,3,967,1328,0,2,1,5,308,0,170000
42,9180,0,5,3,3,747,884,0,2,1,5,504,0,144000
43,9200,0,5,3,3,280,938,0,3,1,5,308,0,130250
44,7945,0,5,3,3,179,1150,0,3,1,6,300,0,141000
45,7658,0,9,3,5,456,1752,0,2,1,6,576,0,319900
46,12822,0,7,3,4,1351,1518,631,1,1,6,670,0,239686
47,11096,0,8,3,4,24,1656,0,3,1,7,826,0,249700
48,4456,0,4,3,3,0,736,716,2,3,8,0,0,113000
49,7742,0,5,3,3,763,955,0,3,1,6,386,0,127000
50,13869,0,6,3,3,182,794,676,3,1,6,388,0,177000
51,6240,0,6,3,3,0,816,0,3,1,6,528,0,114500
52,8472,0,5,3,2,104,816,0,2,1,5,516,0,110000
53,50271,0,9,6,4,1810,1842,0,0,1,5,894,0,385000
54,7134,0,5,3,3,384,1360,0,3,1,6,572,0,130000
55,10175,0,6,3,3,490,1425,0,3,1,7,576,0,180500
56,2645,0,8,3,4,649,983,756,3,1,7,480,0,172500
57,11645,0,7,3,4,0,860,860,3,1,7,565,0,196500
58,13682,0,10,3,5,0,1426,1519,3,1,10,641,0,438780
59,7200,0,5,3,3,632,780,0,2,1,4,352,0,124900
60,13072,0,6,3,3,941,1158,0,3,1,5,576,0,158000
61,7200,0,5,3,3,0,581,530,3,1,6,288,0,101000
62,6442,0,8,3,4,24,1370,0,2,1,6,484,0,202500
63,10300,-1,7,3,3,0,902,808,3,1,9,480,0,140000
64,9375,0,7,3,3,739,1057,977,3,1,8,645,0,219500
65,9591,0,8,3,4,0,1143,1330,4,1,9,852,0,317000
66,19900,0,7,3,3,912,2207,0,3,1,7,576,0,180000
67,10665,0,7,3,4,1013,1479,0,3,1,7,558,0,226000
68,4608,0,4,3,3,0,747,0,2,1,4,220,0,80000
69,15593,0,7,3,4,603,1304,983,3,1,7,667,0,225000
70,13651,0,7,3,3,1880,2223,0,3,1,8,516,0,244000
71,7599,0,4,3,3,565,845,0,2,1,4,360,0,129500
72,10141,0,7,3,3,0,885,833,3,1,7,427,0,185000
73,10200,0,5,3,3,320,1086,0,3,1,6,490,0,144900
74,5790,0,3,3,4,0,840,765,3,2,8,379,0,107400
75,1596,0,4,3,3,462,526,462,2,1,5,297,0,91000
76,8475,0,4,3,3,228,952,0,2,1,4,283,0,135750
77,8635,0,5,3,3,336,1072,213,2,1,6,240,0,127000
78,10778,0,4,3,3,0,1768,0,4,2,8,0,0,136500
79,10440,0,5,3,3,0,682,548,2,1,5,440,0,110000
80,13000,0,6,3,3,448,1182,960,4,1,8,509,0,193500
81,4500,0,6,3,3,1201,1337,0,2,1,5,405,0,153500
82,10206,0,8,3,3,33,1563,0,3,1,6,758,0,245000
83,8892,0,5,3,3,0,1065,0,3,1,6,461,0,126500
84,8530,0,7,3,3,0,804,670,3,1,7,400,0,168500
85,16059,0,8,3,4,0,1301,1116,4,1,9,462,0,260000
86,11911,0,6,3,4,0,684,876,3,1,6,400,0,174000
87,3951,0,6,3,4,0,612,612,2,1,4,528,0,164500
