,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,YrSold,SalePrice,Distance_from_centre,Othr,Shed,New,Abnorml,AdjLand,Alloca,Family,Normal
0,60,6,65.0,8450,2,0,0,0,0,0,0,CollgCr,0,0,4,7.0,7,5,17,17,2,3,11,3,196.0,4,3,6,4,3,1,6,706,1,0,150,856,4,5,1,5,854,0,1710,1,0,2,1,3,1,4,0,0,5,2,2,3,2,0,61,0,0,0,0,0,0,0,12,208500,2.755615357369807,0,0,0.0,0,0,0,0,1
1,20,6,80.0,9600,2,0,0,0,0,3,0,Veenker,-1,0,4,6.0,6,8,44,44,2,3,6,2,0.0,3,3,4,4,3,4,5,978,1,0,284,1262,4,5,1,5,0,0,1262,0,1,2,0,3,1,3,0,1,5,2,2,3,2,298,0,0,0,0,0,0,0,0,13,181500,3.0445438854681224,0,0,0.0,0,0,0,0,1
2,60,6,68.0,11250,2,0,1,0,0,0,0,CollgCr,0,0,4,7.0,7,5,19,18,2,3,11,3,162.0,4,3,6,4,3,2,6,486,1,0,434,920,4,5,1,5,866,0,1786,1,0,2,1,3,1,4,0,1,5,2,2,3,2,0,42,0,0,0,0,0,0,0,12,223500,2.755615357369807,0,0,0.0,0,0,0,0,1
3,70,6,60.0,9550,2,0,1,0,0,1,0,Crawfor,0,0,4,7.0,7,5,105,50,2,3,5,2,0.0,3,3,2,3,4,1,5,216,1,0,540,756,4,4,1,5,756,0,1717,1,0,1,0,3,1,4,0,1,2,1,3,3,2,0,35,272,0,0,0,0,0,0,14,140000,0.8656348122851083,0,0,0.0,1,0,0,0,0
4,60,6,84.0,14260,2,0,1,0,0,3,0,NoRidge,0,0,4,7.0,8,5,20,20,2,3,11,3,350.0,4,3,6,4,3,3,6,655,1,0,490,1145,4,5,1,5,1053,0,2198,1,0,2,1,4,1,4,0,1,5,2,3,3,2,192,84,0,0,0,0,0,0,0,12,250000,4.8323299181983845,0,0,0.0,0,0,0,0,1
5,50,6,85.0,14115,2,0,1,0,0,0,0,Mitchel,0,0,4,3.0,5,5,27,25,2,3,11,2,0.0,3,3,3,4,3,1,6,732,1,0,64,796,4,5,1,5,566,0,1362,1,0,1,1,1,1,3,0,0,5,1,2,3,2,40,30,0,320,0,0,0,3,700,11,143000,4.209013064802914,0,1,0.0,0,0,0,0,1
6,20,6,75.0,10084,2,0,0,0,0,0,0,Somerst,0,0,4,6.0,8,5,16,15,2,3,11,4,186.0,4,3,6,5,3,3,6,1369,1,0,317,1686,4,5,1,5,0,0,1694,1,0,2,0,3,1,4,0,1,5,2,2,3,2,255,57,0,0,0,0,0,0,0,13,307000,3.180007592445369,0,0,0.0,0,0,0,0,1
7,60,6,0.0,10382,2,0,1,0,0,1,0,NWAmes,1,0,4,7.0,7,6,47,47,2,3,7,4,240.0,3,3,4,4,3,2,5,859,4,32,216,1107,4,5,1,5,983,0,2090,1,0,2,1,3,1,3,0,2,5,2,2,3,2,235,204,228,0,0,0,0,0,350,11,200000,6.7699506878762605,0,1,0.0,0,0,0,0,1
8,50,8,51.0,6120,2,0,0,0,0,0,0,OldTown,-1,0,4,3.0,7,5,89,70,2,3,10,2,0.0,3,3,2,3,3,1,1,0,1,0,952,952,4,4,1,3,752,0,1774,0,0,2,0,2,2,3,1,2,2,1,2,2,2,90,0,205,0,0,0,0,0,0,12,129900,189.7950336411289,0,0,0.0,1,0,0,0,0
9,190,6,50.0,7420,2,0,0,0,0,1,0,BrkSide,-1,-1,3,1.5,5,6,81,70,2,3,6,2,0.0,3,3,2,3,3,1,6,851,1,0,140,991,4,5,1,5,0,0,1077,1,0,1,0,2,2,3,0,2,5,2,1,4,2,0,4,0,0,0,0,0,0,0,12,118000,0.0578043829422743,0,0,0.0,0,0,0,0,1
10,20,6,70.0,11200,2,0,0,0,0,0,0,Sawyer,0,0,4,6.0,5,5,55,55,5,3,7,2,0.0,3,3,4,3,3,1,3,906,1,0,134,1040,4,5,1,5,0,0,1040,1,0,1,0,3,1,3,0,0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,12,129500,4.9649151989870015,0,0,0.0,0,0,0,0,1
11,60,6,85.0,11924,2,0,1,0,0,0,0,NridgHt,0,0,4,7.0,9,5,15,14,5,3,8,4,286.0,5,3,6,5,3,1,6,998,1,0,177,1175,4,5,1,5,1142,0,2324,1,0,3,0,4,1,5,0,2,6,3,3,3,2,147,21,0,0,0,0,0,0,0,14,345000,4.6240596443517665,0,0,1.0,0,0,0,0,0
