,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageArea,SalePrice
0,7,17,17,4,4,856,856,1710,2,4,8,0,2,2,548,208500
1,6,44,44,3,4,1262,1262,1262,2,3,6,3,2,2,460,181500
2,7,19,18,4,4,920,920,1786,2,4,6,3,2,2,608,223500
3,7,105,50,3,3,756,961,1717,1,4,7,4,1,3,642,140000
4,8,20,20,4,4,1145,1145,2198,2,4,9,3,2,3,836,250000
5,5,27,25,3,4,796,796,1362,1,3,5,0,1,2,480,143000
6,8,16,15,4,5,1686,1694,1694,2,4,7,4,2,2,636,307000
7,7,47,47,3,4,1107,1107,2090,2,3,7,3,2,2,484,200000
8,7,89,70,3,3,952,1022,1774,2,3,8,3,1,2,468,129900
9,5,81,70,3,3,991,1077,1077,1,3,5,3,2,1,205,118000
10,5,55,55,3,3,1040,1040,1040,1,3,5,0,1,1,384,129500
11,9,15,14,5,5,1175,1182,2324,3,5,11,4,3,3,736,345000
12,5,58,58,3,3,912,912,912,1,3,4,0,1,1,352,144000
13,7,14,13,4,4,1494,1494,1494,2,4,7,4,2,3,840,279500
14,6,60,60,3,3,1253,1253,1253,1,3,5,2,2,1,352,157000
15,7,91,19,3,3,832,854,854,1,3,5,0,1,2,576,132000
16,6,50,50,3,3,1004,1004,1004,1,3,5,3,3,2,480,149000
17,4,53,53,3,0,0,1296,1296,2,3,6,0,1,2,516,90000
18,5,16,16,3,3,1114,1114,1114,1,4,6,0,1,2,576,159000
19,5,62,55,3,3,1029,1339,1339,1,3,6,0,1,1,294,139000
20,8,15,14,4,5,1158,1158,2376,3,4,9,4,2,3,853,325300
21,7,90,70,3,3,637,1108,1108,1,4,6,4,1,1,280,139400
22,8,18,18,4,4,1777,1795,1795,2,4,7,4,2,2,534,230000
23,5,44,44,3,4,1040,1060,1060,1,3,6,3,1,2,572,129900
24,5,52,19,3,3,1060,1060,1060,1,4,6,3,1,1,270,154000
25,8,13,13,4,4,1566,1600,1600,2,4,7,4,2,3,890,256300
26,5,69,20,3,3,900,900,900,1,4,5,0,1,2,576,134800
27,8,13,12,4,5,1704,1704,1704,2,4,7,4,2,3,772,306000
28,5,63,23,3,3,1484,1600,1600,1,3,6,4,2,1,319,207500
29,4,93,70,3,3,520,520,520,1,2,4,0,1,1,240,68500
30,4,100,70,3,3,649,649,1317,1,3,6,0,1,1,250,40000
31,5,54,14,3,3,1228,1228,1228,1,4,6,0,1,1,271,149350
32,8,13,13,4,5,1234,1234,1234,2,4,7,0,2,2,484,179900
33,5,61,61,3,3,1398,1700,1700,1,4,6,4,2,2,447,165500
34,9,15,15,5,5,1561,1561,1561,2,5,6,4,3,2,556,277500
35,8,16,15,4,5,1117,1132,2452,3,4,9,4,3,3,691,309000
36,5,26,25,3,4,1097,1097,1097,1,3,6,0,1,2,672,145000
37,5,66,30,3,3,1297,1297,1297,1,3,5,3,3,2,498,153000
38,5,67,13,3,3,1057,1057,1057,1,4,5,0,1,1,246,109000
39,4,65,65,3,0,0,1152,1152,2,2,6,0,0,0,0,82000
40,6,55,55,3,3,1088,1324,1324,2,3,6,3,2,2,440,160000
41,5,61,61,3,3,1350,1328,1328,1,3,5,4,2,1,308,170000
42,5,37,37,3,4,840,884,884,1,4,5,0,2,2,504,144000
43,5,45,40,3,4,938,938,938,1,3,5,0,1,1,308,130250
44,5,61,61,3,3,1150,1150,1150,1,3,6,0,2,1,300,141000
45,9,15,15,5,5,1752,1752,1752,2,5,6,4,2,2,576,319900
46,7,17,17,4,5,1434,1518,2149,1,4,6,5,2,2,670,239686
47,8,14,14,4,4,1656,1656,1656,2,4,7,0,2,3,826,249700
48,4,100,12,3,3,736,736,1452,2,3,8,0,0,0,0,113000
49,5,54,54,3,3,955,955,955,1,3,6,0,1,1,386,127000
50,6,23,23,3,4,794,794,1470,2,3,6,0,3,2,388,177000
51,6,86,70,3,3,816,816,1176,1,3,6,4,1,2,528,114500
52,5,57,57,2,4,816,816,816,1,3,5,0,1,2,516,110000
53,9,39,33,4,5,1842,1842,1842,0,4,5,4,3,3,894,385000
54,5,65,65,3,3,384,1360,1360,1,3,6,3,1,2,572,130000
55,6,56,56,3,3,1425,1425,1425,2,3,7,4,2,2,576,180500
56,8,21,20,4,4,970,983,1739,2,4,7,0,3,2,480,172500
57,7,16,16,4,4,860,860,1720,2,4,7,0,2,2,565,196500
58,10,14,14,5,5,1410,1426,2945,3,4,10,4,3,3,641,438780
59,5,48,48,3,3,780,780,780,1,3,4,0,1,1,352,124900
60,6,16,16,3,4,1158,1158,1158,1,4,5,0,1,2,576,158000
61,5,100,24,3,3,530,581,1111,1,2,6,0,1,1,288,101000
62,8,14,14,4,4,1370,1370,1370,2,4,6,4,2,2,484,202500
63,7,99,70,3,3,576,902,1710,2,3,9,0,1,2,480,140000
64,7,23,22,3,4,1057,1057,2034,2,4,8,0,2,2,645,219500
65,8,16,15,4,5,1143,1143,2473,2,4,9,4,2,3,852,317000
66,7,50,31,3,4,1947,2207,2207,2,3,7,4,2,2,576,180000
67,7,17,17,4,4,1453,1479,1479,2,4,7,0,2,2,558,226000
68,4,75,70,3,3,747,747,747,1,3,4,0,1,1,220,80000
69,7,67,67,4,3,1304,1304,2287,2,3,7,3,3,2,667,225000
70,7,47,47,3,4,2223,2223,2223,2,3,8,4,3,2,516,244000
71,4,38,14,3,3,845,845,845,1,3,4,0,1,2,360,129500
72,7,22,22,3,4,832,885,1718,2,3,7,3,3,2,427,185000
73,5,66,17,3,3,1086,1086,1086,1,3,6,0,1,2,490,144900
74,3,105,70,4,2,840,840,1605,2,3,8,0,1,1,379,107400
75,4,47,47,3,4,462,526,988,1,3,5,0,1,1,297,91000
76,4,64,64,3,3,952,952,952,1,3,4,0,1,1,283,135750
77,5,72,19,3,3,672,1072,1285,1,3,6,0,1,1,240,127000
78,4,52,52,3,3,1768,1768,1768,2,3,8,0,0,0,0,136500
79,5,110,39,3,3,440,682,1230,1,3,5,0,1,2,440,110000
80,6,52,52,3,4,896,1182,2142,2,4,8,4,3,1,509,193500
81,6,22,22,3,5,1237,1337,1337,2,3,5,0,3,2,405,153500
82,8,13,13,3,4,1563,1563,1563,2,4,6,4,2,3,758,245000
83,5,60,60,3,3,1065,1065,1065,1,3,6,0,1,2,461,126500
84,7,25,24,3,4,384,804,1474,2,3,7,3,3,2,400,168500
85,8,29,28,4,4,1288,1301,2417,2,4,9,3,1,2,462,260000
86,6,15,15,4,4,684,684,1560,2,4,6,4,3,2,400,174000
87,6,11,11,4,4,612,612,1224,2,4,4,0,2,2,528,164500
88,3,105,38,2,3,1013,1013,1526,1,2,6,0,0,0,0,85000
89,4,26,25,3,4,990,990,990,1,3,5,0,0,0,0,123600
90,4,70,70,3,0,0,1040,1040,1,3,4,0,1,2,420,109900
91,5,59,59,3,3,1235,1235,1235,1,3,6,0,1,2,480,98600
92,5,99,14,3,4,876,964,964,1,3,5,0,1,2,432,163500
93,6,110,22,3,3,1214,1260,2291,2,3,9,4,1,2,506,133900
94,6,23,23,3,4,824,905,1786,2,4,7,0,2,2,684,204750
95,6,27,27,5,4,680,680,1470,2,3,6,3,3,2,420,185000
96,7,21,21,4,4,1588,1588,1588,2,4,6,0,2,2,472,214000
97,4,55,55,3,3,960,960,960,1,3,6,0,3,1,432,94750
98,5,100,70,3,3,458,835,835,1,3,5,0,1,1,366,83000
99,4,61,61,3,3,950,1225,1225,1,3,6,0,0,0,0,128950
100,6,43,19,3,3,1610,1610,1610,2,4,6,3,2,2,480,205000
101,6,35,35,4,4,741,977,1732,2,4,7,3,3,2,476,178000
102,5,41,41,3,0,0,1535,1535,2,3,8,0,1,2,410,118964
103,7,11,11,3,4,1226,1226,1226,2,4,6,0,2,3,740,198900
104,7,89,70,3,3,1040,1226,1818,1,3,7,3,1,1,240,169500
105,8,17,16,4,5,1053,1053,1992,2,4,9,4,2,2,648,250000
106,4,135,25,3,2,641,1047,1047,1,3,6,0,1,1,273,100000
107,5,72,70,3,3,789,789,789,1,3,5,0,1,1,250,115000
108,5,101,15,3,3,793,997,1517,2,2,7,0,0,0,0,115000
109,6,43,43,3,4,1844,1844,1844,2,3,7,3,2,2,546,190000
110,6,66,48,3,3,994,1216,1855,2,3,7,0,1,1,325,136900
